ORG_LEVEL,CITY,AREA,DISTRICT,SAFETY
Other,chicago,area_3,24,55.04
Other,chicago,area_3,24,60.19
Other,chicago,area_3,24,70.71
Other,chicago,area_3,24,60.79
Other,chicago,area_3,24,56.8
Other,chicago,area_3,24,65.11
Other,chicago,area_3,24,61.49
Other,chicago,area_3,24,67.9
Other,chicago,area_3,24,61.84
Other,chicago,area_3,24,58.4
Other,chicago,area_3,24,68.49
Other,chicago,area_3,24,62.93
Other,chicago,area_3,24,63.45
Other,chicago,area_3,24,59
Other,chicago,area_3,24,66.08
Other,chicago,area_3,24,63.86
Other,chicago,area_3,24,54.59
Other,chicago,area_3,24,61.55
Other,chicago,area_3,24,67.69
Other,chicago,area_3,24,59.58
Other,chicago,area_3,24,63.11
Other,chicago,area_3,24,66.25
Other,chicago,area_3,24,68.75
Other,chicago,area_3,24,63.54
Other,chicago,area_3,24,60.87
Other,chicago,area_3,24,61.3
Other,chicago,area_3,24,63.88
Other,chicago,area_3,24,54.52
Other,chicago,area_3,24,58.21
Other,chicago,area_3,24,64.02
Other,chicago,area_3,24,60.63
Other,chicago,area_3,24,59.86
Other,chicago,area_3,24,65.48
Other,chicago,area_3,24,57.44
Other,chicago,area_3,24,57.09
Other,chicago,area_3,24,69.38
Other,chicago,area_3,24,68.96
Other,chicago,area_3,24,68.15
Other,chicago,area_3,24,58.69
Other,chicago,area_3,24,62.95
Other,chicago,area_3,24,69.82
Other,chicago,area_3,24,65.79
Other,chicago,area_3,24,67.33
Other,chicago,area_3,24,57.26
Other,chicago,area_3,24,66.1
Other,chicago,area_3,24,65
Other,chicago,area_3,24,70.1
Other,chicago,area_3,24,61.92
Other,chicago,area_3,24,67.81
Other,chicago,area_3,24,63.02
Other,chicago,area_3,24,59.45
Other,chicago,area_3,24,67.24
Other,chicago,area_3,24,51.74
Other,chicago,area_3,24,56.35
Other,chicago,area_3,24,62.73
Other,chicago,area_3,24,57.48
Other,chicago,area_3,24,69.08
Other,chicago,area_3,24,69.54
Other,chicago,area_3,24,72.34
Other,chicago,area_3,24,63.26
Other,chicago,area_3,24,67.17
Other,chicago,area_3,24,56.03
Other,chicago,area_3,24,68.51
Other,chicago,area_3,24,67.06
Other,chicago,area_3,24,63.37
Other,chicago,area_3,24,60.78
Other,chicago,area_3,24,59.26
Other,chicago,area_3,24,68.94
Other,chicago,area_3,24,62.3
Other,chicago,area_3,24,71.92
Other,chicago,area_3,24,70.01
Other,chicago,area_3,24,68.88
Other,chicago,area_3,24,68.55
Other,chicago,area_3,24,66.7
Other,chicago,area_3,24,63.61
Other,chicago,area_3,24,59.07
Other,chicago,area_3,24,65.92
Other,chicago,area_3,24,52.31
Other,chicago,area_3,24,68.43
Other,chicago,area_3,24,58.33
Other,chicago,area_3,24,66.19
Other,chicago,area_3,24,57.55
Other,chicago,area_3,24,60.86
Other,chicago,area_3,24,59.45
Other,chicago,area_3,24,60.24
Other,chicago,area_3,24,63.26
Other,chicago,area_3,24,67.98
Other,chicago,area_3,24,63.26
Other,chicago,area_3,24,58.74
Other,chicago,area_3,24,59.15
Other,chicago,area_3,24,64.03
Other,chicago,area_3,24,64.39
Other,chicago,area_3,24,61.69
Other,chicago,area_3,24,61.31
Other,chicago,area_3,24,63.17
Other,chicago,area_3,24,61.56
Other,chicago,area_3,24,70.86
Other,chicago,area_3,24,62.74
Other,chicago,area_3,24,58.68
Other,chicago,area_3,24,70.63
Other,chicago,area_3,24,67.63
Other,chicago,area_3,24,63.62
Other,chicago,area_3,24,58.65
Other,chicago,area_3,24,69.86
Other,chicago,area_3,24,60.19
Other,chicago,area_3,24,61.37
Other,chicago,area_3,24,65.03
Other,chicago,area_3,24,67.55
Other,chicago,area_3,24,67.52
Other,chicago,area_3,24,66.68
Other,chicago,area_3,24,65.48
Other,chicago,area_3,24,63.69
Other,chicago,area_3,24,60.95
Other,chicago,area_3,24,66.56
Other,chicago,area_3,24,67.11
Other,chicago,area_3,24,57.31
Other,chicago,area_3,24,67.18
Other,chicago,area_3,24,55.72
Other,chicago,area_3,24,61.9
Other,chicago,area_3,24,65.94
Other,chicago,area_3,24,67.33
Other,chicago,area_3,24,58.46
Other,chicago,area_3,24,59.4
Other,chicago,area_3,24,67.18
Other,chicago,area_3,24,54.66
Other,chicago,area_3,24,59.33
Other,chicago,area_3,24,54.99
Other,chicago,area_3,24,59.5
Other,chicago,area_3,24,62.49
Other,chicago,area_3,24,62.35
Other,chicago,area_3,24,53.64
Other,chicago,area_3,24,59.17
Other,chicago,area_3,24,55.26
Other,chicago,area_3,24,60.16
Other,chicago,area_3,24,62.07
Other,chicago,area_3,24,60.07
Other,chicago,area_3,24,59.28
Other,chicago,area_3,24,60.53
Other,chicago,area_3,24,62.23
Other,chicago,area_3,24,65.96
Other,chicago,area_3,24,64.01
Other,chicago,area_3,24,58.91
Other,chicago,area_3,24,66.17
Other,chicago,area_3,24,64.42
Other,chicago,area_3,24,69.8
Other,chicago,area_3,24,67.74
Other,chicago,area_3,24,61.43
